province,year,batch_section,batch,subject_group,line_type,lowest_score,source_url
四川,2024,本科二批,本科,历史类,总分,457,https://www.sceea.cn/Html/202406/Newsdetail_3740.html
四川,2024,专科批,专科,历史类,总分,150,https://www.sceea.cn/Html/202406/Newsdetail_3740.html
四川,2024,本科二批,本科,物理类,总分,459,https://www.sceea.cn/Html/202406/Newsdetail_3740.html
四川,2024,专科批,专科,物理类,总分,150,https://www.sceea.cn/Html/202406/Newsdetail_3740.html
安徽,2024,本科院校,本科,历史类,总分,462,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,本科院校,本科,物理类,总分,465,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,高职(专科),专科,历史类,总分,200,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,高职(专科),专科,物理类,总分,200,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,特殊类型招生,特控线,历史类,总分,512,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,特殊类型招生,特控线,物理类,总分,514,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,艺术类,艺术本科,历史类,文化科总分,347,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,艺术类,艺术本科,物理类,文化科总分,349,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,体育类,体育本科,历史类,文化科总分,323,https://www.ahzsks.cn/ggl/7626.htm
安徽,2024,体育类,体育本科,物理类,文化科总分,326,https://www.ahzsks.cn/ggl/7626.htm
广东,2024,本科,本科,历史类,总分,428,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,物理类,总分,442,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,体育类,专业省统考,210,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,音乐类,专业省统考,190,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,舞蹈类,专业省统考,195,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,表,专业省统考,210,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,播音与主持类,专业省统考,205,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,美术与设计类,专业省统考,185,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,书法类,专业省统考,223,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,本科,本科,戏曲类,文化科总分,300,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,特控线,特控线,历史类,总分,539,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,特控线,特控线,物理类,总分,532,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,地方专项,地方专项,历史类,总分,509,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,地方专项,地方专项,物理类,总分,502,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,历史类,总分,200,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,物理类,总分,200,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,体育类,专业省统考,200,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,音乐类,专业省统考,150,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,舞蹈类,专业省统考,150,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,表,专业省统考,205,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
广东,2024,专科,专科,播音与主持类,专业省统考,195,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4444840.html
