province,subject_group,batch,university_code,university_name,group_code,major_code,major_name,plan_count,tuition,lowest_score_2024,lowest_rank_2024,school_type
广东,物理类,本科批,10001,北京大学,203,203_001,北京大学组203,24,6000,689.0,85.0,985
广东,物理类,本科批,10002,中国人民大学,202,202_001,中国人民大学组202,28,6000,663.0,1215.0,985
广东,物理类,本科批,10002,中国人民大学,203,203_001,中国人民大学组203,21,6000,667.0,831.0,985
广东,物理类,本科批,10003,清华大学,202,202_001,清华大学组202,10,6000,692.0,53.0,985
广东,物理类,本科批,10003,清华大学,203,203_001,清华大学组203,49,6000,688.0,97.0,985
广东,物理类,本科批,10004,北京交通大学,202,202_001,北京交通大学组202,15,6000,594.0,25890.0,211
广东,物理类,本科批,10004,北京交通大学,204,204_001,北京交通大学组204,74,6000,615.0,13369.0,211
广东,物理类,本科批,10004,北京交通大学(中外合作办学),205,205_001,北京交通大学(中外合作办学)组205,5,6000,606.0,18214.0,211
广东,物理类,本科批,10004,试北京交通大学(中外合作办学),206,206_001,试北京交通大学(中外合作办学)组206,2,6000,606.0,0.0,211
广东,物理类,本科批,10004,北京交通大学,207,207_001,北京交通大学组207,7,6000,627.0,8570.0,211
广东,物理类,本科批,10005,北京工业大学,201,201_001,北京工业大学组201,4,6000,610.0,16132.0,普通本科
广东,物理类,本科批,10005,考北京工业大学,202,202_001,考北京工业大学组202,5,6000,600.0,21717.0,普通本科
广东,物理类,本科批,10005,北京工业大学,203,203_001,北京工业大学组203,3,6000,617.0,12677.0,普通本科
广东,物理类,本科批,10005,北京工业大学,204,204_001,北京工业大学组204,4,6000,613.0,14430.0,普通本科
广东,物理类,本科批,10006,育北京航空航天大学,202,202_001,育北京航空航天大学组202,108,6000,657.0,1822.0,985
广东,物理类,本科批,10006,北京航空航天大学(中外合作办学),206,206_001,北京航空航天大学(中外合作办学)组206,7,6000,641.0,4528.0,985
广东,物理类,本科批,10007,北京理工大学(中外合作办学),202,202_001,北京理工大学(中外合作办学)组202,2,6000,611.0,15502.0,985
广东,物理类,本科批,10007,教北京理工大学,203,203_001,教北京理工大学组203,57,6000,656.0,1983.0,985
广东,物理类,本科批,10007,北京理工大学(珠海校区),204,204_001,北京理工大学(珠海校区)组204,10,6000,665.0,1031.0,985
广东,物理类,本科批,10008,省北京科技大学,204,204_001,省北京科技大学组204,4,6000,614.0,13928.0,211
