province,subject_group,batch,university_code,university_name,group_code,major_code,major_name,plan_count,tuition,lowest_score_2024,lowest_rank_2024,school_type
广东,历史类,本科批,10001,北京大学,201,201_001,北京大学组201,24,6000,662.0,32.0,985
广东,历史类,本科批,10002,中国人民大学,201,201_001,中国人民大学组201,49,6000,648.0,150.0,985
广东,历史类,本科批,10002,中国人民大学,205,205_001,中国人民大学组205,5,6000,659.0,53.0,985
广东,历史类,本科批,10003,清华大学,201,201_001,清华大学组201,4,6000,665.0,19.0,985
广东,历史类,本科批,10004,北京交通大学,201,201_001,北京交通大学组201,11,6000,594.0,3847.0,211
广东,历史类,本科批,10006,北京航空航天大学,201,201_001,北京航空航天大学组201,8,6000,625.0,818.0,985
广东,历史类,本科批,10007,北京理工大学,201,201_001,北京理工大学组201,20,6000,611.0,1765.0,985
广东,历史类,本科批,10008,北京科技大学,201,201_001,北京科技大学组201,2,6000,593.0,3913.0,211
广东,历史类,本科批,10008,试北京科技大学,202,202_001,试北京科技大学组202,2,6000,597.0,0.0,211
广东,历史类,本科批,10008,北京科技大学,203,203_001,北京科技大学组203,2,6000,596.0,3469.0,211
广东,历史类,本科批,10010,北京化工大学,201,201_001,北京化工大学组201,12,6000,577.0,6981.0,普通本科
广东,历史类,本科批,10012,考北京服装学院,201,201_001,考北京服装学院组201,4,6000,513.0,31068.0,普通本科
广东,历史类,本科批,10015,北京印刷学院,201,201_001,北京印刷学院组201,2,6000,531.0,22341.0,普通本科
广东,历史类,本科批,10019,中国农业大学(中外合作办学),201,201_001,中国农业大学(中外合作办学)组201,6,6000,583.0,5770.0,985
广东,历史类,本科批,10022,育北京林业大学,201,201_001,育北京林业大学组201,13,6000,575.0,7382.0,普通本科
广东,历史类,本科批,10022,北京林业大学,202,202_001,北京林业大学组202,4,6000,580.0,6292.0,普通本科
广东,历史类,本科批,10022,教北京林业大学,206,206_001,教北京林业大学组206,2,6000,580.0,6282.0,普通本科
广东,历史类,本科批,10026,北京中医药大学,201,201_001,北京中医药大学组201,4,6000,582.0,5882.0,普通本科
广东,历史类,本科批,10027,北京师范大学,201,201_001,北京师范大学组201,16,6000,636.0,378.0,985
广东,历史类,本科批,10027,省北京师范大学,211,211_001,省北京师范大学组211,2,6000,623.0,920.0,985
广东,历史类,本科批,10028,首都师范大学,202,202_001,首都师范大学组202,8,6000,584.0,5545.0,普通本科
广东,历史类,本科批,10029,首都体育学院,201,201_001,首都体育学院组201,0,6000,521.0,27237.0,普通本科
广东,历史类,本科批,10030,北京外国语大学,201,201_001,北京外国语大学组201,5,6000,617.0,1282.0,普通本科
广东,历史类,本科批,10030,北京外国语大学,202,202_001,北京外国语大学组202,13,6000,604.0,2497.0,普通本科
广东,历史类,本科批,10030,北京外国语大学,203,203_001,北京外国语大学组203,4,6000,606.0,2229.0,普通本科
广东,历史类,本科批,10031,北京第二外国语学院,201,201_001,北京第二外国语学院组201,3,6000,572.0,8079.0,普通本科
广东,历史类,本科批,10031,北京第二外国语学院,202,202_001,北京第二外国语学院组202,18,6000,554.0,13173.0,普通本科
广东,历史类,本科批,10031,北京第二外国语学院,203,203_001,北京第二外国语学院组203,3,6000,575.0,7462.0,普通本科
广东,历史类,本科批,10032,北京语言大学,201,201_001,北京语言大学组201,25,6000,570.0,8625.0,普通本科
广东,历史类,本科批,10032,北京语言大学,202,202_001,北京语言大学组202,3,6000,579.0,0.0,普通本科
广东,历史类,本科批,10033,省中国传媒大学,202,202_001,省中国传媒大学组202,24,6000,597.0,3381.0,211
广东,历史类,本科批,10033,中国传媒大学(中外合作办学),203,203_001,中国传媒大学(中外合作办学)组203,5,6000,591.0,4345.0,211
广东,历史类,本科批,10033,东中国传媒大学,209,209_001,东中国传媒大学组209,4,6000,594.0,0.0,211
